Store_Ratio,Basket_Ratio,Store_Score,popularity
0.407,0.0038,-35.865,4
0.2339999999999999,0.105,-19.884,4
0.6679999999999999,0.726,-7.512,4
0.184,0.00561,-34.357,5
0.231,0.131,-22.842,3
0.7559999999999999,0.609,-7.927,4
0.3979999999999999,0.0336,-30.369,4
0.7170000000000001,0.6990000000000001,-5.665,4
0.419,0.574,-12.220999999999998,4
0.705,0.221,-11.474,4
0.802,0.591,-4.895,4
0.532,0.0872,-20.407,4
0.54,0.1989999999999999,-11.078,4
0.494,0.913,-7.94,3
0.648,0.939,-3.818,4
0.373,0.1119999999999999,-22.063,4
0.669,0.6729999999999999,-9.754,4
0.758,0.7959999999999999,-6.483,3
0.107,0.183,-19.139,3
0.41,0.478,-7.778,4
0.609,0.949,-4.195,4
0.233,0.124,-19.757,4
0.502,0.924,-6.299,4
0.5429999999999999,0.365,-12.973,4
0.497,0.8009999999999999,-6.613,4
0.497,0.3989999999999999,-9.463,4
0.5529999999999999,0.6659999999999999,-6.1370000000000005,4
0.168,0.0742,-23.933000000000003,4
0.614,0.614,-11.339,4
0.7440000000000001,0.519,-6.218999999999999,4
0.25,0.00664,-36.729,3
0.596,0.324,-16.706,4
0.64,0.926,-5.597,4
0.325,0.664,-4.45,4
0.762,0.5529999999999999,-6.5520000000000005,4
0.4529999999999999,0.206,-10.764,3
0.628,0.698,-5.608,4
0.381,0.257,-9.179,4
0.784,0.204,-11.383,4
0.73,0.439,-9.864,4
0.304,0.0483,-29.533,4
0.703,0.8340000000000001,-5.4910000000000005,4
0.506,0.693,-7.265,4
0.472,0.0361,-27.596,4
0.354,0.982,-3.026,4
0.462,0.374,-12.069,3
0.419,0.938,-3.12,4
0.497,0.757,-4.189,4
0.889,0.863,-3.011,4
0.731,0.573,-10.059,4
0.282,0.0901,-22.603,4
0.813,0.633,-8.645,4
0.0857,0.0033399999999999,-35.427,3
0.78,0.603,-5.766,4
0.433,0.0437,-24.025,3
0.364,0.00547,-30.853,4
0.6409999999999999,0.81,-4.516,4
0.41,0.2339999999999999,-15.236,4
0.478,0.98,-2.591,4
0.149,0.0994,-23.041,5
0.3929999999999999,0.256,-12.95,3
0.758,0.7,-8.771,4
0.473,0.432,-10.362,4
0.68,0.716,-3.571,4
0.486,0.382,-6.183,3
0.528,0.856,-4.605,4
0.3879999999999999,0.143,-17.545,3
0.467,0.186,-18.418,3
0.455,0.178,-19.848,4
0.0866,0.996,-20.379,3
0.4429999999999999,0.8440000000000001,-5.414,4
0.887,0.161,-12.325,4
0.693,0.201,-9.903,4
0.7440000000000001,0.823,-4.1610000000000005,4
0.236,0.0164,-32.58,4
0.267,0.0322,-18.147,4
0.843,0.908,-3.207,4
0.8759999999999999,0.685,-6.06,4
0.638,0.182,-13.046,4
0.705,0.3279999999999999,-13.355,4
0.67,0.7140000000000001,-5.94,4
0.8420000000000001,0.488,-7.856,4
0.519,0.46,-14.53,4
0.503,0.967,-2.492,4
0.205,0.989,-4.5360000000000005,4
0.905,0.85,-4.83,4
0.478,0.485,-12.77,4
0.598,0.853,-5.372999999999999,1
0.2019999999999999,0.153,-23.773000000000003,4
0.301,0.012,-32.691,5
0.6509999999999999,0.628,-5.811,4
0.779,0.335,-13.055,4
0.613,0.642,-6.189,4
0.624,0.246,-16.523,4
0.868,0.638,-7.746,4
0.626,0.794,-8.891,4
0.5,0.0923,-17.195999999999998,4
0.218,0.0207,-30.989,3
0.598,0.809,-4.168,4
0.379,0.023,-29.144,4
0.528,0.487,-9.214,4
0.447,0.0848,-18.481,4
0.262,0.0557,-20.133,4
0.0674,0.0319,-25.053,3
0.6759999999999999,0.948,-2.628,3
0.471,0.3879999999999999,-17.334,4
0.434,0.0193,-26.368,4
0.318,0.508,-6.067,3
0.599,0.0985,-18.072,4
0.812,0.506,-10.729,4
0.741,0.8590000000000001,-5.074,4
0.5720000000000001,0.534,-8.466000000000001,4
0.698,0.114,-18.47,4
0.159,0.0578,-25.511,3
0.575,0.188,-18.758,4
0.351,0.8029999999999999,-7.752999999999999,4
0.5920000000000001,0.877,-4.05,4
0.568,0.522,-8.168,4
0.675,0.365,-10.887,4
0.8220000000000001,0.938,-2.7,4
0.7759999999999999,0.763,-8.124,4
0.165,0.00509,-34.734,3
0.584,0.408,-11.921,4
0.184,0.00527,-37.264,3
0.586,0.208,-15.224,4
0.166,0.0744,-21.009,4
0.493,0.914,-5.894,4
0.173,0.314,-13.002,3
0.631,0.597,-7.382000000000001,4
0.581,0.3989999999999999,-9.322,4
0.48,0.602,-6.335,4
0.557,0.0671,-20.697,4
0.696,0.916,-3.72,3
0.177,0.384,-29.537,4
0.5429999999999999,0.5870000000000001,-3.792,4
0.807,0.5489999999999999,-9.479,4
0.604,0.366,-7.881,3
0.4479999999999999,0.00504,-27.869,4
0.755,0.507,-11.368,4
0.862,0.804,-4.484,4
0.55,0.917,-4.575,3
0.598,0.636,-9.972,4
0.655,0.523,-7.428999999999999,4
0.515,0.691,-4.0280000000000005,3
0.877,0.61,-7.817,4
0.4429999999999999,0.205,-12.685,4
0.716,0.6559999999999999,-7.88,4
0.6729999999999999,0.1989999999999999,-12.351,4
0.203,0.00399,-35.638000000000005,4
0.445,0.716,-12.041,3
0.71,0.434,-6.78,3
0.589,0.8959999999999999,-3.5780000000000003,4
0.4479999999999999,0.6859999999999999,-7.411,4
0.6779999999999999,0.181,-10.56,5
0.591,0.515,-6.004,4
0.723,0.503,-15.835,4
0.211,0.02,-27.685,4
0.591,0.759,-3.785,4
0.946,0.772,-7.537000000000001,4
0.884,0.3879999999999999,-13.199000000000002,4
0.314,0.268,-11.24,3
0.175,0.0475,-29.131,3
0.475,0.322,-10.687,4
0.496,0.863,-4.1530000000000005,4
0.662,0.884,-4.104,4
0.496,0.1009999999999999,-22.118,3
0.725,0.561,-10.348,4
0.113,0.124,-24.054,4
0.773,0.622,-11.283,4
0.3989999999999999,0.3379999999999999,-13.026,4
0.7659999999999999,0.8140000000000001,-4.131,4
0.72,0.7909999999999999,-4.689,4
0.4579999999999999,0.319,-14.533,3
0.477,0.14,-13.396,3
0.698,0.664,-10.923,4
0.665,0.128,-21.172,4
0.6709999999999999,0.0705,-18.373,4
0.937,0.648,-6.047000000000001,4
0.602,0.885,-4.659,4
0.7020000000000001,0.608,-6.843,4
0.588,0.397,-16.155,4
0.682,0.4429999999999999,-11.347,4
0.797,0.607,-6.457999999999999,4
0.447,0.932,-4.7,4
0.317,0.57,-5.331,4
0.804,0.928,-7.827000000000001,4
0.715,0.6659999999999999,-5.715,4
0.493,0.921,-5.471,4
0.511,0.477,-8.144,4
0.513,0.4479999999999999,-6.961,4
0.215,0.0397,-32.43,4
0.7240000000000001,0.498,-4.563,4
0.789,0.728,-7.869,4
0.647,0.8,-5.384,4
0.7509999999999999,0.501,-12.151,4
0.0767,0.0116,-28.464,5
0.4539999999999999,0.462,-8.267000000000001,4
0.6609999999999999,0.732,-5.2,4
0.812,0.7090000000000001,-7.857,4
0.7559999999999999,0.757,-7.167999999999999,4
0.735,0.831,-5.898,4
0.22,0.708,-9.051,4
0.563,0.5920000000000001,-4.571000000000001,4
0.637,0.358,-9.086,4
0.5429999999999999,0.485,-6.85,4
0.532,0.00248,-28.933000000000003,4
0.506,0.69,-6.077999999999999,4
0.36,0.0714,-23.33,3
0.579,0.872,-6.126,4
0.151,0.0451,-26.128,3
0.535,0.677,-6.875,4
0.5,0.292,-8.554,4
0.4379999999999999,0.178,-9.402,1
0.4429999999999999,0.91,-3.129,5
0.6,0.8109999999999999,-7.956,4
0.64,0.8640000000000001,-6.5760000000000005,4
0.522,0.679,-7.88,4
0.746,0.1009999999999999,-19.888,4
0.502,0.515,-13.046,4
