Store_Ratio,Basket_Ratio,Store_Score,Store_Presence,Score_3,popularity
0.407,0.0038,-35.865,0.992,0.11,4
0.2339999999999999,0.105,-19.884,0.944,0.0382,4
0.6679999999999999,0.726,-7.512,0.0387,0.4529999999999999,4
0.184,0.00561,-34.357,0.8490000000000001,0.0641,5
0.231,0.131,-22.842,0.937,0.0677,3
0.7559999999999999,0.609,-7.927,0.217,0.537,4
0.3979999999999999,0.0336,-30.369,0.996,0.612,4
0.7170000000000001,0.6990000000000001,-5.665,0.223,0.6890000000000001,4
0.419,0.574,-12.220999999999998,0.102,0.345,4
0.705,0.221,-11.474,0.938,0.384,4
0.802,0.591,-4.895,0.0104,0.309,4
0.532,0.0872,-20.407,0.954,0.187,4
0.54,0.1989999999999999,-11.078,0.894,0.25,4
0.494,0.913,-7.94,0.147,0.372,3
0.648,0.939,-3.818,0.0223,0.2769999999999999,4
0.373,0.1119999999999999,-22.063,0.992,0.501,4
0.669,0.6729999999999999,-9.754,0.203,0.867,4
0.758,0.7959999999999999,-6.483,0.165,0.919,3
0.107,0.183,-19.139,0.981,0.0365,3
0.41,0.478,-7.778,0.6779999999999999,0.163,4
0.609,0.949,-4.195,0.252,0.848,4
0.233,0.124,-19.757,0.985,0.061,4
0.502,0.924,-6.299,0.0127,0.922,4
0.5429999999999999,0.365,-12.973,0.957,0.355,4
0.497,0.8009999999999999,-6.613,0.578,0.674,4
0.497,0.3989999999999999,-9.463,0.6829999999999999,0.0917,4
0.5529999999999999,0.6659999999999999,-6.1370000000000005,0.168,0.895,4
0.168,0.0742,-23.933000000000003,0.765,0.441,4
0.614,0.614,-11.339,0.505,0.557,4
0.7440000000000001,0.519,-6.218999999999999,0.0465,0.356,4
0.25,0.00664,-36.729,0.99,0.0279,3
0.596,0.324,-16.706,0.799,0.64,4
0.64,0.926,-5.597,0.135,0.901,4
0.325,0.664,-4.45,0.00119,0.367,4
0.762,0.5529999999999999,-6.5520000000000005,0.0447,0.469,4
0.4529999999999999,0.206,-10.764,0.925,0.0565,3
0.628,0.698,-5.608,0.0472,0.732,4
0.381,0.257,-9.179,0.789,0.0889,4
0.784,0.204,-11.383,0.902,0.469,4
0.73,0.439,-9.864,0.747,0.615,4
0.304,0.0483,-29.533,0.995,0.301,4
0.703,0.8340000000000001,-5.4910000000000005,0.0396,0.537,4
0.506,0.693,-7.265,0.584,0.221,4
0.472,0.0361,-27.596,0.994,0.209,4
0.354,0.982,-3.026,0.000237,0.1939999999999999,4
