Store_Ratio,Basket_Ratio,Score_4,popularity
0.407,0.0038,113.911,4
0.2339999999999999,0.105,76.332,4
0.6679999999999999,0.726,124.075,4
0.184,0.00561,79.03699999999999,5
0.231,0.131,109.56,3
0.7559999999999999,0.609,117.023,4
0.3979999999999999,0.0336,72.166,4
0.7170000000000001,0.6990000000000001,100.147,4
0.419,0.574,129.26,4
0.705,0.221,84.962,4
0.802,0.591,139.864,4
0.532,0.0872,131.494,4
0.54,0.1989999999999999,134.125,4
0.494,0.913,109.191,3
0.648,0.939,150.061,4
0.373,0.1119999999999999,110.651,4
0.669,0.6729999999999999,132.68,4
0.758,0.7959999999999999,145.475,3
0.107,0.183,84.945,3
0.41,0.478,80.363,4
0.609,0.949,168.007,4
0.233,0.124,74.747,4
0.502,0.924,149.186,4
0.5429999999999999,0.365,132.09799999999998,4
0.497,0.8009999999999999,147.933,4
0.497,0.3989999999999999,118.9,4
0.5529999999999999,0.6659999999999999,80.195,4
0.168,0.0742,96.49,4
0.614,0.614,159.971,4
0.7440000000000001,0.519,89.86,4
0.25,0.00664,144.41899999999998,3
0.596,0.324,170.03799999999998,4
0.64,0.926,131.997,4
0.325,0.664,135.88299999999998,4
0.762,0.5529999999999999,143.999,4
0.4529999999999999,0.206,104.96,3
0.628,0.698,89.976,4
0.381,0.257,84.001,4
0.784,0.204,75.988,4
0.73,0.439,130.09,4
0.304,0.0483,166.00599999999997,4
0.703,0.8340000000000001,127.944,4
0.506,0.693,139.912,4
0.472,0.0361,74.596,4
0.354,0.982,143.77200000000002,4
0.462,0.374,122.939,3
0.419,0.938,160.151,4
0.497,0.757,169.90200000000002,4
0.889,0.863,112.953,4
0.731,0.573,109.928,4
0.282,0.0901,74.11399999999999,4
0.813,0.633,122.006,4
0.0857,0.0033399999999999,72.62100000000001,3
0.78,0.603,105.979,4
0.433,0.0437,68.152,3
0.364,0.00547,64.081,4
0.6409999999999999,0.81,165.86700000000002,4
0.41,0.2339999999999999,93.72,4
0.478,0.98,150.968,4
0.149,0.0994,138.70600000000002,5
0.3929999999999999,0.256,149.625,3
0.758,0.7,124.041,4
0.473,0.432,120.014,4
0.68,0.716,83.904,4
0.486,0.382,125.918,3
0.528,0.856,87.01899999999999,4
0.3879999999999999,0.143,182.665,3
0.467,0.186,88.52,3
0.455,0.178,90.969,4
0.0866,0.996,76.941,3
0.4429999999999999,0.8440000000000001,76.001,4
0.887,0.161,159.977,4
0.693,0.201,100.836,4
0.7440000000000001,0.823,93.926,4
0.236,0.0164,133.171,4
0.267,0.0322,88.531,4
0.843,0.908,125.995,4
0.8759999999999999,0.685,100.008,4
0.638,0.182,180.715,4
0.705,0.3279999999999999,139.868,4
0.67,0.7140000000000001,112.065,4
0.8420000000000001,0.488,126.02,4
0.519,0.46,132.082,4
0.503,0.967,95.006,4
0.205,0.989,178.672,4
0.905,0.85,105.027,4
0.478,0.485,171.463,4
0.598,0.853,122.012,1
0.2019999999999999,0.153,63.085,4
0.301,0.012,141.02700000000002,5
0.6509999999999999,0.628,150.014,4
0.779,0.335,80.071,4
0.613,0.642,199.861,4
0.624,0.246,77.558,4
0.868,0.638,126.03,4
0.626,0.794,124.992,4
0.5,0.0923,159.403,4
0.218,0.0207,93.7,3
0.598,0.809,104.784,4
0.379,0.023,75.609,4
0.528,0.487,135.009,4
0.447,0.0848,109.703,4
0.262,0.0557,108.929,4
0.0674,0.0319,67.904,3
0.6759999999999999,0.948,108.731,3
0.471,0.3879999999999999,90.178,4
0.434,0.0193,70.875,4
0.318,0.508,157.89700000000002,3
0.599,0.0985,126.251,4
0.812,0.506,125.941,4
0.741,0.8590000000000001,139.954,4
0.5720000000000001,0.534,139.97899999999998,4
0.698,0.114,69.971,4
0.159,0.0578,70.358,3
0.575,0.188,77.464,4
0.351,0.8029999999999999,120.058,4
0.5920000000000001,0.877,117.106,4
0.568,0.522,76.932,4
0.675,0.365,91.108,4
0.8220000000000001,0.938,141.976,4
0.7759999999999999,0.763,128.433,4
0.165,0.00509,75.23899999999999,3
0.584,0.408,79.846,4
0.184,0.00527,170.612,3
0.586,0.208,90.574,4
0.166,0.0744,103.361,4
0.493,0.914,91.045,4
0.173,0.314,70.335,3
0.631,0.597,107.26,4
0.581,0.3989999999999999,98.025,4
0.48,0.602,179.798,4
0.557,0.0671,83.194,4
0.696,0.916,164.032,3
0.177,0.384,83.384,4
0.5429999999999999,0.5870000000000001,92.033,4
0.807,0.5489999999999999,99.962,4
0.604,0.366,105.177,3
0.4479999999999999,0.00504,133.119,4
0.755,0.507,180.083,4
0.862,0.804,125.002,4
0.55,0.917,109.552,3
0.598,0.636,120.031,4
0.655,0.523,150.151,4
0.515,0.691,169.521,3
0.877,0.61,135.951,4
0.4429999999999999,0.205,132.99,4
0.716,0.6559999999999999,119.988,4
0.6729999999999999,0.1989999999999999,123.038,4
0.203,0.00399,74.253,4
0.445,0.716,124.472,3
0.71,0.434,103.271,3
0.589,0.8959999999999999,86.04299999999999,4
0.4479999999999999,0.6859999999999999,123.641,4
0.6779999999999999,0.181,118.035,5
0.591,0.515,113.994,4
0.723,0.503,138.944,4
0.211,0.02,199.759,4
0.591,0.759,130.043,4
0.946,0.772,116.972,4
0.884,0.3879999999999999,136.007,4
0.314,0.268,79.27600000000001,3
0.175,0.0475,122.427,3
0.475,0.322,93.503,4
0.496,0.863,110.018,4
0.662,0.884,128.029,4
0.496,0.1009999999999999,59.551,3
0.725,0.561,91.628,4
0.113,0.124,72.062,4
0.773,0.622,105.538,4
0.3989999999999999,0.3379999999999999,134.52,4
0.7659999999999999,0.8140000000000001,124.017,4
0.72,0.7909999999999999,102.071,4
0.4579999999999999,0.319,186.615,3
0.477,0.14,95.678,3
0.698,0.664,111.863,4
0.665,0.128,104.434,4
0.6709999999999999,0.0705,169.674,4
0.937,0.648,135.895,4
0.602,0.885,103.546,4
0.7020000000000001,0.608,75.012,4
0.588,0.397,129.97299999999998,4
0.682,0.4429999999999999,120.974,4
0.797,0.607,100.98,4
0.447,0.932,166.484,4
0.317,0.57,84.25299999999999,4
0.804,0.928,94.964,4
0.715,0.6659999999999999,124.998,4
0.493,0.921,108.02,4
0.511,0.477,143.851,4
0.513,0.4479999999999999,97.07,4
0.215,0.0397,173.678,4
0.7240000000000001,0.498,169.976,4
0.789,0.728,124.995,4
0.647,0.8,160.078,4
0.7509999999999999,0.501,167.05700000000002,4
0.0767,0.0116,73.749,5
0.4539999999999999,0.462,124.902,4
0.6609999999999999,0.732,126.004,4
0.812,0.7090000000000001,91.928,4
0.7559999999999999,0.757,116.979,4
0.735,0.831,123.017,4
0.22,0.708,66.214,4
0.563,0.5920000000000001,104.016,4
0.637,0.358,79.183,4
0.5429999999999999,0.485,136.961,4
0.532,0.00248,50.848,4
0.506,0.69,94.478,4
0.36,0.0714,116.016,3
0.579,0.872,76.214,4
0.151,0.0451,83.874,3
0.535,0.677,133.88299999999998,4
0.5,0.292,145.879,4
0.4379999999999999,0.178,75.248,1
0.4429999999999999,0.91,169.903,5
0.6,0.8109999999999999,126.071,4
0.64,0.8640000000000001,102.026,4
0.522,0.679,91.014,4
0.746,0.1009999999999999,59.994,4
0.502,0.515,120.03,4
0.4429999999999999,0.0038799999999999,70.292,3
0.644,0.292,127.216,4
0.5920000000000001,0.8370000000000001,113.995,4
0.7559999999999999,0.589,122.057,4
0.2769999999999999,0.962,95.056,4
0.653,0.69,110.214,4
0.179,0.386,89.045,3
0.696,0.7090000000000001,80.23100000000001,4
0.369,0.901,120.271,4
0.1639999999999999,0.652,80.297,4
0.7859999999999999,0.813,125.988,4
0.6,0.648,120.002,4
0.575,0.471,97.272,4
0.647,0.7829999999999999,112.373,4
0.721,0.316,118.535,4
0.3929999999999999,0.486,169.50599999999997,4
0.632,0.537,129.983,3
0.49,0.8109999999999999,125.965,4
0.6940000000000001,0.7120000000000001,98.022,4
0.505,0.0671,72.796,3
0.4629999999999999,0.701,84.601,4
0.514,0.088,92.069,4
0.4529999999999999,0.736,139.966,4
0.521,0.265,77.51899999999999,4
0.785,0.4679999999999999,168.02900000000002,4
0.526,0.385,120.008,4
0.754,0.349,106.013,3
0.75,0.9,124.98,4
0.65,0.738,119.827,4
0.62,0.718,164.987,4
