Store_Ratio,Basket_Ratio,Score_3,Score_4,popularity
0.407,0.0038,0.11,113.911,4
0.2339999999999999,0.105,0.0382,76.332,4
0.6679999999999999,0.726,0.4529999999999999,124.075,4
0.184,0.00561,0.0641,79.03699999999999,5
0.231,0.131,0.0677,109.56,3
0.7559999999999999,0.609,0.537,117.023,4
0.3979999999999999,0.0336,0.612,72.166,4
0.7170000000000001,0.6990000000000001,0.6890000000000001,100.147,4
0.419,0.574,0.345,129.26,4
0.705,0.221,0.384,84.962,4
0.802,0.591,0.309,139.864,4
0.532,0.0872,0.187,131.494,4
0.54,0.1989999999999999,0.25,134.125,4
0.494,0.913,0.372,109.191,3
0.648,0.939,0.2769999999999999,150.061,4
0.373,0.1119999999999999,0.501,110.651,4
0.669,0.6729999999999999,0.867,132.68,4
0.758,0.7959999999999999,0.919,145.475,3
0.107,0.183,0.0365,84.945,3
0.41,0.478,0.163,80.363,4
0.609,0.949,0.848,168.007,4
0.233,0.124,0.061,74.747,4
0.502,0.924,0.922,149.186,4
0.5429999999999999,0.365,0.355,132.09799999999998,4
0.497,0.8009999999999999,0.674,147.933,4
0.497,0.3989999999999999,0.0917,118.9,4
0.5529999999999999,0.6659999999999999,0.895,80.195,4
0.168,0.0742,0.441,96.49,4
0.614,0.614,0.557,159.971,4
0.7440000000000001,0.519,0.356,89.86,4
0.25,0.00664,0.0279,144.41899999999998,3
0.596,0.324,0.64,170.03799999999998,4
0.64,0.926,0.901,131.997,4
0.325,0.664,0.367,135.88299999999998,4
0.762,0.5529999999999999,0.469,143.999,4
0.4529999999999999,0.206,0.0565,104.96,3
0.628,0.698,0.732,89.976,4
0.381,0.257,0.0889,84.001,4
0.784,0.204,0.469,75.988,4
0.73,0.439,0.615,130.09,4
0.304,0.0483,0.301,166.00599999999997,4
0.703,0.8340000000000001,0.537,127.944,4
0.506,0.693,0.221,139.912,4
0.472,0.0361,0.209,74.596,4
0.354,0.982,0.1939999999999999,143.77200000000002,4
0.462,0.374,0.174,122.939,3
0.419,0.938,0.3329999999999999,160.151,4
0.497,0.757,0.507,169.90200000000002,4
0.889,0.863,0.7759999999999999,112.953,4
0.731,0.573,0.145,109.928,4
0.282,0.0901,0.0357,74.11399999999999,4
0.813,0.633,0.154,122.006,4
0.0857,0.0033399999999999,0.153,72.62100000000001,3
0.78,0.603,0.807,105.979,4
0.433,0.0437,0.196,68.152,3
0.364,0.00547,0.0784,64.081,4
0.6409999999999999,0.81,0.805,165.86700000000002,4
0.41,0.2339999999999999,0.19,93.72,4
0.478,0.98,0.911,150.968,4
0.149,0.0994,0.0394,138.70600000000002,5
0.3929999999999999,0.256,0.0967,149.625,3
0.758,0.7,0.0987,124.041,4
0.473,0.432,0.1889999999999999,120.014,4
0.68,0.716,0.633,83.904,4
0.486,0.382,0.1639999999999999,125.918,3
0.528,0.856,0.5720000000000001,87.01899999999999,4
0.3879999999999999,0.143,0.578,182.665,3
0.467,0.186,0.228,88.52,3
0.455,0.178,0.386,90.969,4
0.0866,0.996,0.0116,76.941,3
0.4429999999999999,0.8440000000000001,0.452,76.001,4
0.887,0.161,0.0833,159.977,4
0.693,0.201,0.679,100.836,4
0.7440000000000001,0.823,0.913,93.926,4
0.236,0.0164,0.191,133.171,4
0.267,0.0322,0.0609,88.531,4
0.843,0.908,0.351,125.995,4
0.8759999999999999,0.685,0.402,100.008,4
0.638,0.182,0.247,180.715,4
0.705,0.3279999999999999,0.281,139.868,4
0.67,0.7140000000000001,0.865,112.065,4
0.8420000000000001,0.488,0.6459999999999999,126.02,4
0.519,0.46,0.675,132.082,4
0.503,0.967,0.254,95.006,4
0.205,0.989,0.311,178.672,4
0.905,0.85,0.631,105.027,4
0.478,0.485,0.688,171.463,4
0.598,0.853,0.315,122.012,1
0.2019999999999999,0.153,0.28,63.085,4
0.301,0.012,0.0861,141.02700000000002,5
0.6509999999999999,0.628,0.513,150.014,4
0.779,0.335,0.807,80.071,4
0.613,0.642,0.628,199.861,4
0.624,0.246,0.718,77.558,4
0.868,0.638,0.4589999999999999,126.03,4
0.626,0.794,0.371,124.992,4
0.5,0.0923,0.324,159.403,4
0.218,0.0207,0.0901,93.7,3
0.598,0.809,0.653,104.784,4
0.379,0.023,0.1639999999999999,75.609,4
0.528,0.487,0.0466,135.009,4
0.447,0.0848,0.268,109.703,4
0.262,0.0557,0.0395,108.929,4
0.0674,0.0319,0.0384,67.904,3
0.6759999999999999,0.948,0.632,108.731,3
0.471,0.3879999999999999,0.0917,90.178,4
0.434,0.0193,0.327,70.875,4
0.318,0.508,0.301,157.89700000000002,3
0.599,0.0985,0.2739999999999999,126.251,4
0.812,0.506,0.701,125.941,4
0.741,0.8590000000000001,0.369,139.954,4
0.5720000000000001,0.534,0.33,139.97899999999998,4
0.698,0.114,0.133,69.971,4
0.159,0.0578,0.1119999999999999,70.358,3
0.575,0.188,0.3339999999999999,77.464,4
0.351,0.8029999999999999,0.33,120.058,4
0.5920000000000001,0.877,0.7120000000000001,117.106,4
0.568,0.522,0.452,76.932,4
0.675,0.365,0.414,91.108,4
0.8220000000000001,0.938,0.775,141.976,4
0.7759999999999999,0.763,0.82,128.433,4
0.165,0.00509,0.0312,75.23899999999999,3
0.584,0.408,0.245,79.846,4
0.184,0.00527,0.151,170.612,3
0.586,0.208,0.451,90.574,4
0.166,0.0744,0.0349,103.361,4
0.493,0.914,0.74,91.045,4
0.173,0.314,0.0722,70.335,3
0.631,0.597,0.665,107.26,4
0.581,0.3989999999999999,0.183,98.025,4
0.48,0.602,0.2689999999999999,179.798,4
0.557,0.0671,0.962,83.194,4
0.696,0.916,0.974,164.032,3
0.177,0.384,0.0645,83.384,4
0.5429999999999999,0.5870000000000001,0.309,92.033,4
0.807,0.5489999999999999,0.481,99.962,4
0.604,0.366,0.181,105.177,3
0.4479999999999999,0.00504,0.33,133.119,4
0.755,0.507,0.7170000000000001,180.083,4
0.862,0.804,0.951,125.002,4
0.55,0.917,0.245,109.552,3
0.598,0.636,0.039,120.031,4
0.655,0.523,0.897,150.151,4
0.515,0.691,0.484,169.521,3
0.877,0.61,0.634,135.951,4
0.4429999999999999,0.205,0.109,132.99,4
0.716,0.6559999999999999,0.119,119.988,4
0.6729999999999999,0.1989999999999999,0.228,123.038,4
0.203,0.00399,0.0779,74.253,4
0.445,0.716,0.825,124.472,3
0.71,0.434,0.385,103.271,3
0.589,0.8959999999999999,0.363,86.04299999999999,4
0.4479999999999999,0.6859999999999999,0.228,123.641,4
0.6779999999999999,0.181,0.0684,118.035,5
0.591,0.515,0.562,113.994,4
0.723,0.503,0.956,138.944,4
0.211,0.02,0.3,199.759,4
0.591,0.759,0.235,130.043,4
0.946,0.772,0.743,116.972,4
0.884,0.3879999999999999,0.2189999999999999,136.007,4
0.314,0.268,0.391,79.27600000000001,3
0.175,0.0475,0.0453,122.427,3
0.475,0.322,0.387,93.503,4
0.496,0.863,0.243,110.018,4
0.662,0.884,0.484,128.029,4
0.496,0.1009999999999999,0.62,59.551,3
0.725,0.561,0.809,91.628,4
0.113,0.124,0.0717,72.062,4
0.773,0.622,0.8320000000000001,105.538,4
0.3989999999999999,0.3379999999999999,0.335,134.52,4
